id,combo,category,name,fileName,planType,includeType,inferredPlan,inferredIncludeType,issues,combinations
"694001b7d19257ee4d202b56","slack-to-teams","messaging","Slack to Teams Basic Plan - Basic Include","slack-to-teams-basic-plan-included.docx","","","basic","included","missing_planType|missing_includeType","[""slack-to-teams""]"
"694001b8d19257ee4d202b57","slack-to-teams","messaging","Slack to Teams Basic Plan - Basic Not Include","slack-to-teams-basic-plan-notincluded.docx","","","basic","notincluded","missing_planType|missing_includeType","[""slack-to-teams""]"
"69400400eafb4acacf0b5aaa","sharefile-to-google-sharedrive","content","ShareFile to Google SharedDrive Advanced Plan - Advanced Included","ShareFile to Google SharedDrive Advanced Plan - Advanced Included.docx","","","advanced","included","missing_planType|missing_includeType","[""sharefile-to-google-sharedrive"",""all""]"
"69400400eafb4acacf0b5aab","sharefile-to-google-sharedrive","content","ShareFile to Google SharedDrive Advanced Plan - Advanced Not Included","ShareFile to Google SharedDrive Advanced Plan - Advanced Not Included.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""sharefile-to-google-sharedrive"",""all""]"
"694017cb3878a2d6dcc8137d","onedrive-to-onedrive","content","OneDrive to OneDrive Standard Plan - Included Features","OneDrive to OneDrive Standard Plan - Included Features.docx","","","standard","included","missing_planType|missing_includeType","[""onedrive-to-onedrive"",""all""]"
"69428e24e54890823fd61a97","slack-to-teams","messaging","Slack to Teams Standard Plan - Standard Include","slack-to-teams-standard-plan-included.docx","","","standard","included","missing_planType|missing_includeType","[""slack-to-teams""]"
"69428e25e54890823fd61a98","slack-to-teams","messaging","Slack to Teams Standard Plan - Standard Not Include","slack-to-teams-standard-plan-notincluded.docx","","","standard","notincluded","missing_planType|missing_includeType","[""slack-to-teams""]"
"69429aef12c8e5a0ca64c7bd","slack-to-teams","messaging","Slack to Teams Advanced Plan - Advanced Include","slack-to-teams-advanced-plan-included.docx","","","advanced","included","missing_planType|missing_includeType","[""slack-to-teams""]"
"69429aef12c8e5a0ca64c7be","slack-to-teams","messaging","Slack to Teams Advanced Plan - Advanced Not Include","slack-to-teams-advanced-plan-notincluded.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""slack-to-teams""]"
"6944d1567c81e01956c7b2a5","dropbox-to-box","content","Dropbox to Box Advanced Plan - Advanced Include","Dropbox to Box Advanced Plan - Included Features.docx","","","advanced","included","missing_planType|missing_includeType","[""dropbox-to-box"",""all""]"
"6944d1567c81e01956c7b2a6","dropbox-to-box","content","Dropbox to Box Advanced Plan - Advanced Not Include","Dropbox to Box Advanced Plan - Not Included Features.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""dropbox-to-box"",""all""]"
"6944d5979e58b1d93f4c9baa","dropbox-to-box","content","Dropbox to Box Standard Plan - Standard Include","Dropbox to Box Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-box"",""all""]"
"6944d5979e58b1d93f4c9bab","dropbox-to-box","content","Dropbox to Box Standard Plan - Standard Not Include","Dropbox to Box Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-box"",""all""]"
"6944d8c82d1b6fa686f16231","dropbox-to-egnyte","content","Dropbox to Egnyte Standard Plan - Standard Include","Dropbox to Egnyte Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-egnyte"",""all""]"
"6944d8c82d1b6fa686f16232","dropbox-to-egnyte","content","Dropbox to Egnyte Standard Plan - Standard Not Include","Dropbox to Egnyte Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-egnyte"",""all""]"
"6944dd1eb323b3ba931922e9","dropbox-to-egnyte","content","Dropbox to Egnyte Advanced Plan - Advanced Include","Dropbox to Egnyte Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""dropbox-to-egnyte"",""all""]"
"6944dd1eb323b3ba931922ea","dropbox-to-egnyte","content","Dropbox to Egnyte Advanced Plan - Advanced Not Include","Dropbox to Egnyte Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""dropbox-to-egnyte"",""all""]"
"6944e0ff93e170a2e67af87a","dropbox-to-mydrive","content","Dropbox to MyDrive Advanced Plan - Advanced Include","Dropbox to MyDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""dropbox-to-mydrive"",""all""]"
"6944e0ff93e170a2e67af87b","dropbox-to-mydrive","content","Dropbox to MyDrive Advanced Plan - Advanced Not Include","Dropbox to MyDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""dropbox-to-mydrive"",""all""]"
"6944e81de22c1481c5e2a018","dropbox-to-mydrive","content","Dropbox to MyDrive Standard Plan - Standard Include","Dropbox to MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-mydrive"",""all""]"
"6944e81ee22c1481c5e2a019","dropbox-to-mydrive","content","Dropbox to MyDrive Standard Plan - Standard Not Include","Dropbox to MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-mydrive"",""all""]"
"6944ed70a65a4961f72fc94a","dropbox-to-google","content","Dropbox to Google Shared Drive Standard Plan - Standard Include","Dropbox to Google Shared Drive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-google"",""dropbox-to-google-sharedrive"",""all""]"
"6944ed70a65a4961f72fc94b","dropbox-to-google","content","Dropbox to Google Shared Drive Standard Plan - Standard Not Include","Dropbox to Google Shared Drive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-google"",""dropbox-to-google-sharedrive"",""all""]"
"69494474094bca211f852aa4","box-to-box","content","Box to Box Advanced Plan - Advanced Include","Box to Box Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""box-to-box"",""all""]"
"69494474094bca211f852aa5","box-to-box","content","Box to Box Advanced Plan - Advanced Not Include","Box to Box Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""box-to-box"",""all""]"
"69494606f3df56afd433023a","box-to-dropbox","content","Box to Dropbox Standard Plan - Standard Include","Box to Dropbox Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-dropbox"",""all""]"
"69494606f3df56afd433023b","box-to-dropbox","content","Box to Dropbox Standard Plan - Standard Not Include","Box to Dropbox Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-dropbox"",""all""]"
"694947fccb471b7053ae5a74","box-to-dropbox","content","Box to Dropbox Advanced Plan - Advanced Include","Box to Dropbox Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""box-to-dropbox"",""all""]"
"69494e0d913dc8282303f838","box-to-dropbox","content","Box to Dropbox Advanced Plan - Advanced Not Include","Box to Dropbox Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""box-to-dropbox"",""all""]"
"694952895489cded3c028aa0","box-to-sharefile","content","Box to ShareFile Advanced Plan - Advanced Include","Box to ShareFile Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""box-to-sharefile"",""all""]"
"694952895489cded3c028aa1","box-to-sharefile","content","Box to ShareFile Advanced Plan - Advanced Not Include","Box to ShareFile Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""box-to-sharefile"",""all""]"
"694955efda541709a704e7a1","box-to-sharefile","content","Box to ShareFile Standard Plan - Standard Include","Box to ShareFile Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-sharefile"",""all""]"
"694955efda541709a704e7a2","box-to-sharefile","content","Box to ShareFile Standard Plan - Standard Not Include","Box to ShareFile Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-sharefile"",""all""]"
"69495b88b21c440653eeca54","box-to-google-mydrive","content","Box to Google MyDrive Standard Plan - Standard Include","Box to Google MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""box-to-google-mydrive"",""all""]"
"69495b88b21c440653eeca55","box-to-google-mydrive","content","Box to Google MyDrive Standard Plan - Standard Not Include","Box to Google MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""box-to-google-mydrive"",""all""]"
"69495db5bed1e3bc412b0581","dropbox-to-onedrive","content","Dropbox to OneDrive Standard Plan - Standard Include","Dropbox to OneDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
"69495db5bed1e3bc412b0582","dropbox-to-onedrive","content","Dropbox to OneDrive Standard Plan - Standard Not Include","Dropbox to OneDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
"69495db5bed1e3bc412b0583","dropbox-to-onedrive","content","Dropbox to OneDrive Advanced Plan - Advanced Include","Dropbox to OneDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""dropbox-to-onedrive"",""all""]"
